EffectiveDate,SecurityID,Description,AssetClass,SubClass,Currency,Face,Price,TotalMarketValue,Accrued
27-Jan-21,US03766KAA16,Apollo Aviation Securitization Equity Trust Aaset_16-1/4.875/03-17-2036,Asset Backed,ABS,USD,"45,200,000",103.2638,"46,716,689","41,451"
27-Jan-21,US01741RAE27,Allegheny Technologies Incorporated .00% 15-jan-2021,Bond,Conventional,USD,"12,250,000",103.914,"12,729,465",0
27-Jan-21,XS1648298559,"Nestle Holdings, Inc. .88% 18-jul-2025",Corporate Bond,Corp - Fixed,EUR,"-25,000,000",105.8447,"-26,576,843","-115,668"
27-Jan-21,XS1678970291,Barclays Plc 2 Call 7.2.23,Corporate Credit,Corporate - HY,EUR,"20,000,000",102.5648,"20,900,938","387,978"
27-Jan-21,BE6248644013,Anheuser-busch Inbev 3.25% 24-jan-2033,Fixed,Fixed,EUR,"25,396,000",128.1476,"32,551,148","6,784"
27-Jan-21,XS1203860934,B.a.t. International Finance P.l.c. 2.00% 13-mar-2045,Fixed,Fixed,EUR,"9,400,000",104.5983,"9,997,062","164,822"
27-Jan-21,US06051GFH74,Bank Of America Corporation 4.20% 26-aug-2024,Fixed,Fixed,USD,"10,000,000",112.0173,"11,377,897","176,167"
27-Jan-21,US12189LAV36,"Burlington Northern Santa Fe, Llc 3.00% 01-apr-2025",Fixed,Fixed,USD,"12,875,000",109.344,"14,202,498","124,458"
27-Jan-21,US126650CL25,Cvs Health Corporation 3.88% 20-jul-2025,Fixed,Fixed,USD,"12,675,000",113.3188,"14,372,708","9,550"
27-Jan-21,310822,Development Bank Of Japan Inc. 2.30% 19-mar-2026,Fixed,Fixed: Plain Vanilla Fixed Coupon,JPY,"1,000,000,000",113.0901,"1,139,092,781","8,191,781"
27-Jan-21,XS0452187916,Enel Finance International N.v. 5.00% 14-sep-2022,Fixed,Fixed,EUR,"5,400,000",110.2338,"6,052,488","99,863"
27-Jan-21,248825,Federative Republic Of Brazil Brazil 10.125 05/15/27 Fix,Fixed,Fixed: Plain Vanilla Fixed Coupon,USD,"2,700,000",141.3321,"3,870,642","54,675"
27-Jan-21,US49456BAF85,"Kinder Morgan, Inc. 4.30% 01-jun-2025",Fixed,<Unassigned>,USD,"12,375,000",113.6243,"14,143,782","82,775"
27-Jan-21,US500769CH58,Kreditanstalt Fuer Wiederaufbau .00% 29-jun-2037,Fixed,Fixed,USD,"400,000",80.995,"323,980",0
27-Jan-21,XS1040105980,Philip Morris International Inc. 2.88% 03-mar-2026,Fixed,Fixed,EUR,"9,400,000",115.2965,"11,082,207","244,336"
27-Jan-21,FR0012969038,Sanofi 1.50% 22-sep-2025,Fixed,Fixed,EUR,"10,000,000",109.2445,"10,976,642","52,192"
27-Jan-21,XS0241945582,Telefonica Emisiones S.a.u. 5.38% 02-feb-2026,Fixed,Fixed,GBP,"3,300,000",122.257,"4,208,948","174,467"
